parking_id,name,address,latitude,longitude,parking_type,price_per_hour,time_limit,open_hours,occupancy_state,ticket_risk,rating,source,straight_distance_miles,walking_minutes,walking_meters,route_status,parking_score,parking_summary
CB3470,LADOT Meter CB3470,500 12TH ST,34.04122,-118.26509,street_meter,,4HR,unknown,unknown,low,,LADOT Live + Inventory,0.1764529633777878,5.0,354,ok,3.575,LADOT Meter CB3470 is a street_meter at 500 12TH ST. Occupancy status is unknown. Ticket risk is low. Walking time is 5.0 minutes. Source is LADOT Live + Inventory.
CB3473,LADOT Meter CB3473,500 12TH ST,34.041114,-118.26492,street_meter,,4HR,unknown,unknown,low,,LADOT Live + Inventory,0.1885433459549686,5.2,369,ok,3.645,LADOT Meter CB3473 is a street_meter at 500 12TH ST. Occupancy status is unknown. Ticket risk is low. Walking time is 5.2 minutes. Source is LADOT Live + Inventory.
CB3469,LADOT Meter CB3469,501 12TH ST,34.040999,-118.26451,street_meter,,4HR,unknown,available,low,,LADOT Live + Inventory,0.2112601685098334,5.8,412,ok,3.705,LADOT Meter CB3469 is a street_meter at 501 12TH ST. Occupancy status is available. Ticket risk is low. Walking time is 5.8 minutes. Source is LADOT Live + Inventory.
CB1350,LADOT Meter CB1350,1200 HOPE ST,34.040427,-118.264633,street_meter,,4HR,unknown,available,low,,LADOT Live + Inventory,0.2343526469687474,6.7,480,ok,4.0200000000000005,LADOT Meter CB1350 is a street_meter at 1200 HOPE ST. Occupancy status is available. Ticket risk is low. Walking time is 6.7 minutes. Source is LADOT Live + Inventory.
CB3491,LADOT Meter CB3491,400 12TH ST,34.04049,-118.26396,street_meter,,4HR,unknown,available,low,,LADOT Live + Inventory,0.2581553843163777,6.8,486,ok,4.055000000000001,LADOT Meter CB3491 is a street_meter at 400 12TH ST. Occupancy status is available. Ticket risk is low. Walking time is 6.8 minutes. Source is LADOT Live + Inventory.
ChIJoxNxEdTHwoAR0D5Nh5-OU5g,Lot C,"1145 L.A. Live Way, Los Angeles, CA 90015, USA",34.0445689,-118.2706408,garage_or_lot,,unknown,unknown,unknown,low,4.1,Google Places,0.2198505343691834,6.5,462,ok,4.07,"Lot C is a garage_or_lot at 1145 L.A. Live Way, Los Angeles, CA 90015, USA. Occupancy status is unknown. Ticket risk is low. Walking time is 6.5 minutes. Source is Google Places."
CB3466,LADOT Meter CB3466,501 12TH ST,34.041103,-118.264676,street_meter,,4HR,unknown,occupied,low,,LADOT Live + Inventory,0.1993728475429113,5.5,392,ok,4.2,LADOT Meter CB3466 is a street_meter at 501 12TH ST. Occupancy status is occupied. Ticket risk is low. Walking time is 5.5 minutes. Source is LADOT Live + Inventory.
CB1348A,LADOT Meter CB1348A,1200 HOPE ST,34.04028,-118.264768,street_meter,,4HR,unknown,unknown,low,,LADOT Live + Inventory,0.2373499981322675,7.0,501,ok,4.275,LADOT Meter CB1348A is a street_meter at 1200 HOPE ST. Occupancy status is unknown. Ticket risk is low. Walking time is 7.0 minutes. Source is LADOT Live + Inventory.
CB1360,LADOT Meter CB1360,1100 HOPE ST,34.04165,-118.263489,street_meter,,2HR,unknown,available,low,,LADOT Live + Inventory,0.2372932110433024,7.8,554,ok,4.405000000000001,LADOT Meter CB1360 is a street_meter at 1100 HOPE ST. Occupancy status is available. Ticket risk is low. Walking time is 7.8 minutes. Source is LADOT Live + Inventory.
CB1466,LADOT Meter CB1466,1201 HOPE ST,34.040728,-118.264598,street_meter,,4HR,unknown,occupied,low,,LADOT Live + Inventory,0.2203971996541747,6.3,452,ok,4.48,LADOT Meter CB1466 is a street_meter at 1201 HOPE ST. Occupancy status is occupied. Ticket risk is low. Walking time is 6.3 minutes. Source is LADOT Live + Inventory.
